"Time","Distance","Lap","Throttle","Brake","Fuel Remaining","Steering Wheel Angle","Tyre Pres FL","Tyre Pres FR","Tyre Pres RL","Tyre Pres RR"
"0.000","0","0","0.000000","100.000000","50.5747136","-0.04899523","172.369008","172.369008","165.474016","165.474016"
"1.000","0","0","0.000000","100.000000","50.5747136","-0.04899523","172.366768","172.367008","165.472768","165.472736"
"2.000","0","0","0.000000","100.000000","50.5734368","-0.05314864","172.366016","172.366256","165.472480","165.472480"
"3.000","0","0","0.000000","100.000000","50.5727104","-0.05204070","172.364944","172.365360","165.472352","165.472352"
"4.000","0","0","0.000000","100.000000","50.5721312","-0.01799239","172.360528","172.360800","165.469664","165.469728"
"5.000","0","0","13.514180","69.557968","50.5712096","-0.00332165","172.355440","172.355792","165.466592","165.466592"
"6.000","0","0","7.422935","78.880216","50.5703424","-0.00415233","172.350624","172.351040","165.463504","165.463536"
"7.000","0","0","3.082614","100.000000","50.5697568","0.00055343","172.345952","172.346320","165.460448","165.460448"
"8.000","0","0","0.887792","83.795728","50.5684544","0.00692056","172.341264","172.341696","165.457408","165.457408"
"9.000","0","0","22.515414","82.485408","50.5661760","0.00304547","172.336672","172.337104","165.454320","165.454448"
"10.000","0","0","11.368678","80.531392","50.5610464","0.00166136","172.332048","172.332512","165.451264","165.451440"
"11.000","0","0","0.000000","100.000000","50.5603584","0.00138411","172.327408","172.328000","165.448128","165.448448"
"12.000","0","0","0.000000","100.000000","50.5597888","0.06256018","172.322448","172.323232","165.445072","165.445456"
"13.000","0","0","0.000000","100.000000","50.5592128","-0.01605485","172.317296","172.317984","165.442032","165.442384"
"14.000","0","0","0.493218","100.000000","50.5586272","-0.02491295","172.313040","172.313600","165.439040","165.439440"
"15.000","0","0","0.493218","100.000000","50.5580384","-0.03736997","172.308496","172.309040","165.436032","165.436480"
"16.000","0","0","0.567201","100.000000","50.5574528","-0.03736997","172.304656","172.304944","165.433072","165.433440"
"17.000","0","0","48.360044","0.000000","50.5559040","-0.03266420","172.298544","172.298832","165.426544","165.426912"
"18.000","3","0","52.305788","0.000000","50.5487904","-0.05287138","172.196704","172.197328","165.360112","165.360592"
"19.000","9","0","68.409360","0.000000","50.5394432","-0.00636606","172.027696","172.028496","165.248656","165.249040"
"20.000","21","0","100.000000","0.000000","50.5179744","-0.01993100","171.821232","171.821856","165.111488","165.111728"
"21.000","38","0","91.861904","0.000000","50.4933664","0.00719781","171.612560","171.613040","164.975136","164.974416"
"22.000","57","0","0.000000","68.783512","50.4781120","0.01882414","171.459136","171.459472","164.873408","164.871536"
"23.000","73","0","100.000000","0.000000","50.4670784","0.04595082","171.373040","171.373504","164.816448","164.813600"
"24.000","93","0","100.000000","0.000000","50.4413952","0.01771728","171.302448","171.303104","164.769696","164.765648"
"25.000","113","0","64.143028","0.000000","50.4321504","0.51848668","171.254528","171.255424","164.739824","164.734192"
"26.000","133","0","88.532672","0.000000","50.4076000","0.10463646","171.223504","171.224768","164.721312","164.713200"
